AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,NACIONAL
0,36,1,3,5,19,125,3,1,0,4,12,9,2,105,3,17,1,3,5,16,2,6,1,15,4,16,4,10,27,6,0,461
0,31,0,2,5,18,142,0,0,0,1,8,13,4,116,2,12,0,4,5,20,4,14,1,18,1,15,3,9,29,7,1,485
2,42,1,1,5,21,128,0,0,1,4,10,9,3,138,6,22,0,4,6,16,1,7,0,7,4,17,5,5,22,6,1,494
1,41,1,4,3,22,150,1,0,3,2,10,15,4,121,10,10,4,3,8,18,2,11,1,16,7,18,6,4,41,7,1,545
1,31,0,5,2,18,144,3,1,3,8,16,15,7,144,4,12,2,4,8,20,4,10,2,18,5,28,2,8,27,1,2,555
1,35,1,3,3,15,150,4,1,2,3,14,10,9,142,6,10,2,3,3,18,8,7,4,16,7,18,3,9,24,3,0,534
4,44,1,2,6,15,159,2,0,1,2,17,13,6,152,7,11,3,3,8,14,8,6,5,20,12,19,0,8,27,8,1,584
0,52,1,2,5,19,161,0,1,0,6,20,14,3,149,4,17,2,4,7,13,1,10,2,19,8,16,4,3,40,5,0,588
0,34,0,2,12,26,140,0,0,0,4,16,8,1,144,9,21,3,5,13,23,3,8,0,19,10,20,5,6,42,4,2,580
0,41,1,4,7,11,126,1,2,5,2,25,16,6,121,9,22,0,6,7,27,4,5,3,19,11,22,2,5,43,14,0,567
2,23,0,1,2,7,171,1,1,1,5,19,17,9,135,10,17,2,3,4,22,10,6,1,26,5,23,5,5,32,6,0,571
1,28,1,1,12,13,132,1,1,0,6,19,13,3,139,8,11,1,3,8,31,2,5,2,19,15,25,4,2,41,6,1,554
0,30,0,1,8,14,136,2,0,0,6,20,13,4,122,4,15,0,2,11,26,6,4,4,20,18,24,3,5,31,8,1,538
4,35,1,5,11,7,144,6,4,3,4,27,11,5,154,10,10,2,2,14,22,4,12,2,15,15,18,5,13,34,3,0,602
1,42,0,3,13,12,142,2,0,3,8,28,13,8,150,11,10,0,9,15,31,5,6,3,21,22,13,5,3,37,9,1,626
1,37,1,5,4,16,137,3,2,2,5,24,12,5,161,6,11,3,5,10,25,5,6,3,20,22,21,3,6,40,10,1,612
4,35,2,1,12,8,124,0,1,3,6,30,13,6,147,13,9,5,4,13,21,6,7,1,29,22,23,4,6,29,9,1,594
3,40,0,4,14,13,137,3,0,4,8,21,12,4,157,8,8,6,4,11,27,2,7,1,25,19,22,10,10,34,10,1,625
3,22,1,3,14,11,121,6,1,3,2,23,12,6,153,3,5,2,6,13,26,7,9,2,28,28,18,2,5,31,7,1,574
2,35,0,2,15,11,120,2,0,0,7,22,11,14,151,4,7,6,3,18,26,2,9,2,24,22,29,7,0,48,9,1,609
2,33,0,1,11,6,138,1,3,3,6,25,13,11,163,8,14,5,2,16,28,7,7,4,30,19,12,9,10,34,8,1,630
2,37,1,2,15,14,129,2,1,1,2,24,9,21,158,8,14,3,4,16,40,5,12,6,38,28,27,6,9,42,11,1,688
3,32,1,4,27,12,123,2,0,4,7,29,7,12,148,6,15,6,3,14,45,6,7,1,32,21,20,6,9,34,11,3,650
4,32,2,3,25,11,127,5,1,1,6,22,16,18,172,8,7,3,8,9,32,5,4,6,45,23,18,7,7,40,4,2,673
4,33,3,3,20,8,123,3,0,2,9,21,5,24,140,14,9,6,10,16,41,9,6,5,32,30,18,5,14,34,6,2,655
2,26,3,3,24,12,113,6,1,4,13,25,3,18,128,8,10,0,3,6,24,4,8,2,34,42,17,3,5,40,5,2,594
5,40,0,3,11,16,124,4,2,4,17,19,5,19,153,10,13,8,8,14,39,8,10,8,29,28,14,2,7,38,7,1,666
4,32,0,8,26,15,114,8,2,2,17,26,12,23,152,10,9,4,3,18,39,7,13,6,32,29,20,6,7,33,4,3,684
2,36,0,9,29,18,133,7,0,3,14,27,15,18,146,13,12,7,5,18,33,3,6,6,39,40,20,7,17,44,5,5,737
4,24,1,3,29,10,110,4,0,2,12,23,9,26,163,10,9,5,7,26,40,7,8,4,24,36,18,7,11,46,9,3,690
6,33,0,2,17,9,119,6,2,6,21,25,12,13,150,11,12,4,7,24,38,2,8,4,27,48,19,9,16,44,10,2,706
3,28,2,2,16,16,121,9,1,4,19,21,10,26,157,12,9,4,5,15,26,8,6,8,26,42,13,5,11,37,8,2,672
7,34,2,6,27,10,128,4,1,7,16,21,8,29,141,10,9,1,10,20,45,7,6,4,52,46,17,11,8,37,5,1,730
2,30,2,7,18,9,128,5,1,4,23,30,9,15,132,16,10,1,11,28,47,9,7,3,31,37,18,6,8,38,9,0,694
3,35,4,5,15,14,113,8,1,6,15,24,15,29,143,18,12,8,6,13,44,5,8,2,31,40,17,19,6,40,12,4,715
3,25,4,6,17,10,85,6,1,6,23,18,11,19,160,20,7,4,13,20,42,7,7,1,36,50,22,16,7,51,13,3,713
5,22,1,4,23,11,124,8,2,6,25,22,12,26,154,18,11,5,12,23,50,7,6,7,35,48,27,13,9,49,6,2,773
4,32,1,9,16,12,113,12,2,9,18,29,13,34,141,25,10,7,13,23,52,5,6,2,35,40,16,19,6,37,8,5,754
6,25,1,5,18,8,100,3,1,2,27,23,12,20,122,12,7,6,12,13,48,7,6,2,34,47,23,23,9,38,10,6,676
5,27,1,5,12,8,98,6,3,4,26,32,10,25,133,17,9,9,10,11,31,6,6,4,24,35,20,20,8,42,3,1,651
4,15,2,10,19,6,73,5,4,1,26,14,8,28,107,15,3,12,7,8,42,5,5,7,31,55,12,9,15,53,9,2,612
4,25,0,4,14,7,99,15,3,3,16,18,10,31,119,11,10,9,15,20,55,3,9,7,40,34,24,18,13,45,10,2,693
1,23,1,5,19,11,75,8,2,3,30,30,9,23,120,9,8,3,13,20,54,6,9,7,40,46,20,29,4,31,7,1,667
2,25,1,11,21,7,73,6,4,4,26,17,15,29,102,11,10,6,11,21,33,5,6,6,39,63,14,21,5,35,12,2,643
6,27,1,9,25,7,60,14,1,5,27,16,13,30,101,10,4,5,14,17,34,3,9,13,33,60,14,13,8,43,21,1,644
5,27,1,7,13,8,64,8,5,5,26,17,9,30,93,8,1,8,10,12,30,3,11,9,34,56,24,24,6,53,17,2,626
10,27,1,12,17,10,73,13,1,6,22,25,18,21,94,10,9,1,22,17,34,5,10,7,28,51,26,28,14,40,12,3,667
4,24,3,19,14,5,89,11,3,2,31,28,8,23,106,20,3,6,13,14,35,9,7,5,38,45,30,34,10,51,9,0,699
1,18,0,15,30,8,67,10,2,7,24,23,13,29,112,13,4,8,17,10,36,6,11,8,36,57,28,32,7,46,8,4,690
4,30,1,13,11,8,58,22,1,2,41,23,12,35,155,8,9,9,16,7,37,7,13,4,32,55,25,33,9,53,18,3,754
2,32,5,10,19,8,72,18,3,2,32,24,7,22,109,12,7,4,24,10,43,5,9,11,25,45,33,37,10,48,23,4,715
2,22,1,14,16,11,83,16,3,7,29,13,18,34,108,12,8,2,21,20,45,6,12,9,24,51,21,20,12,32,18,3,693
4,25,5,14,8,8,63,13,1,5,46,11,14,23,123,10,4,1,31,7,41,10,8,3,31,49,29,37,13,41,14,6,698
4,29,4,16,16,11,66,23,0,2,40,18,11,34,76,8,7,4,25,12,57,6,14,5,41,50,27,21,8,42,20,4,701
8,32,1,10,16,6,77,21,2,3,40,22,6,42,98,8,5,4,21,18,50,8,6,4,31,54,22,43,7,52,17,2,736
4,38,2,8,20,6,66,11,3,4,34,14,9,36,101,11,4,7,30,19,50,6,17,8,44,50,33,44,12,50,10,1,752
2,45,2,14,10,14,80,16,3,4,35,16,7,29,126,11,3,7,29,15,54,5,11,12,34,52,43,51,13,56,23,3,825
6,32,0,20,18,14,79,20,0,8,38,25,10,32,94,8,3,6,29,20,58,7,15,10,36,52,38,44,16,55,23,7,823
6,25,2,14,13,9,51,17,3,7,44,10,10,33,100,10,4,6,25,11,55,10,14,7,36,50,31,38,13,63,15,5,737
3,23,3,18,15,14,66,19,4,7,41,12,10,30,98,5,4,10,30,15,43,4,24,11,39,61,33,28,11,60,19,3,763
2,31,3,21,16,12,48,13,4,3,36,19,15,26,98,10,8,4,19,18,41,3,21,15,17,57,40,31,12,55,24,6,728
5,26,5,14,15,15,61,17,11,10,34,16,12,35,112,15,4,6,26,13,38,1,16,8,24,59,38,21,12,49,17,4,739
4,25,7,14,16,12,71,15,6,7,40,10,19,33,95,12,2,6,31,16,46,7,17,14,37,51,34,24,12,51,17,5,756
3,18,6,15,14,14,57,21,7,4,29,20,16,36,90,14,9,9,40,24,65,8,14,17,40,52,42,41,9,71,20,2,827
5,23,4,13,18,9,73,26,4,9,38,24,14,27,103,8,4,8,32,23,41,3,25,16,35,60,30,28,21,55,19,6,804
3,9,6,14,12,5,72,29,6,4,39,15,14,39,93,16,3,4,48,16,45,4,15,18,42,46,34,36,18,58,30,8,801
3,26,2,19,12,7,58,26,4,8,32,11,15,34,108,7,5,5,37,11,59,7,12,23,27,52,39,48,12,76,25,5,815
2,26,8,16,12,7,56,20,7,6,36,15,17,20,85,13,5,7,33,16,56,8,24,17,36,38,42,35,15,62,21,3,764
3,19,2,13,8,7,65,19,3,7,45,16,14,28,89,5,3,5,44,12,60,6,13,13,25,44,30,32,18,69,25,6,748
2,25,3,21,3,14,59,22,3,3,35,17,9,29,104,7,9,15,43,21,53,8,15,19,43,40,39,35,13,71,18,6,804
5,28,8,11,13,12,54,25,5,10,36,14,14,39,82,6,3,5,32,13,51,9,28,21,34,40,34,41,19,68,36,5,801
2,20,4,17,11,8,56,30,7,3,44,17,19,37,87,7,7,10,40,14,58,4,27,29,25,54,39,42,15,64,35,6,838
2,22,5,13,6,16,43,23,8,4,37,12,13,27,79,7,1,7,48,23,54,11,15,28,27,27,37,38,20,56,40,2,751
8,23,5,10,3,8,54,24,1,8,24,16,9,35,88,9,4,10,45,14,61,6,17,35,25,47,33,47,16,59,32,8,784
10,16,7,13,8,9,46,16,10,1,53,15,17,25,78,13,13,1,44,17,52,4,16,25,29,31,24,38,13,55,23,9,731
5,29,5,12,6,7,61,23,3,9,41,16,21,34,85,17,4,9,37,9,60,8,15,27,26,30,36,30,10,67,26,8,776
4,17,10,18,4,10,53,16,4,5,41,18,14,28,84,18,4,8,45,12,59,9,15,19,33,40,27,45,19,67,24,14,784
3,24,6,14,9,10,53,20,7,4,45,10,18,37,94,14,2,8,55,14,47,4,16,23,37,39,35,39,14,64,39,2,806
3,22,8,10,3,17,49,28,4,1,39,7,17,44,78,12,3,8,59,19,42,6,17,39,21,34,33,30,12,64,42,7,778
3,18,9,13,9,14,35,19,4,4,35,8,17,22,76,18,2,9,40,11,58,6,13,22,27,22,24,40,10,64,25,7,684
3,25,13,6,5,13,60,36,7,8,41,14,19,38,73,8,3,6,40,13,67,8,18,22,17,32,33,35,12,46,20,7,748
4,16,4,11,6,7,48,20,7,11,31,12,17,21,78,13,5,4,40,13,47,9,19,28,35,23,26,31,10,47,23,8,674
3,16,8,15,10,7,47,35,10,4,42,11,13,32,84,23,5,7,40,9,48,10,10,20,31,16,30,36,15,47,38,13,735
2,18,6,15,4,7,55,23,4,4,34,14,19,28,74,12,3,13,52,13,47,12,21,29,18,19,22,33,9,55,23,7,695
2,23,6,19,10,11,56,28,10,6,31,13,19,30,85,20,11,6,41,18,38,4,22,37,26,22,24,24,9,58,35,12,756
6,33,5,7,6,15,55,28,5,9,38,15,23,33,74,11,11,7,46,9,48,5,20,38,33,28,22,30,17,51,41,7,776
2,16,8,9,6,12,61,26,8,9,43,10,21,33,74,14,5,8,54,16,47,12,12,34,17,18,21,29,9,44,31,9,718
6,13,3,12,2,12,43,23,8,4,35,7,22,36,88,18,9,9,52,18,41,10,14,26,22,24,15,26,7,38,34,15,692
7,15,7,4,2,11,53,30,4,7,32,15,15,34,65,15,6,5,55,15,37,4,16,27,28,21,12,20,4,45,24,9,644
5,20,9,8,3,8,64,21,8,7,41,10,14,41,67,18,4,7,32,12,37,10,22,25,17,17,19,34,12,45,24,22,683
5,8,8,9,6,15,35,20,10,9,34,11,15,29,83,20,5,7,52,11,39,9,12,28,31,10,19,28,7,39,23,13,650
3,17,5,5,4,7,47,31,9,4,34,7,27,21,85,17,6,6,44,10,41,11,20,31,20,8,23,23,14,49,34,10,673
5,23,13,9,3,10,42,22,9,6,26,13,25,41,63,16,10,5,46,11,50,6,21,34,17,25,21,28,11,47,31,8,697
5,6,7,5,7,11,45,36,3,2,22,4,19,33,71,17,4,2,41,15,39,4,11,34,22,14,22,32,3,50,21,10,617
5,12,6,7,6,5,46,20,7,6,22,14,15,31,66,10,8,9,43,13,39,5,7,26,28,21,19,22,6,48,31,9,612
6,23,9,9,1,7,45,20,6,6,35,4,19,34,63,13,5,10,30,16,38,11,9,32,21,14,15,19,4,31,17,5,577
8,14,7,10,2,7,44,21,5,4,24,15,13,30,74,16,2,11,34,12,43,12,17,22,12,13,12,27,4,34,27,9,585
6,18,10,3,2,6,42,27,4,3,22,16,14,33,68,20,8,3,42,14,40,8,8,14,16,18,18,24,7,39,19,2,574
4,29,10,7,2,9,45,23,10,2,34,10,22,34,68,27,7,10,44,9,31,6,13,29,18,19,8,20,4,36,21,14,625
5,22,12,4,3,4,47,28,3,5,29,12,18,27,65,18,5,8,32,14,21,12,13,17,15,12,9,30,8,33,28,7,566
4,12,9,5,4,9,44,17,5,12,27,20,19,41,78,18,3,6,31,7,36,14,16,19,25,12,13,17,3,38,15,7,586
5,11,8,1,3,9,50,15,7,4,30,12,12,33,53,10,3,15,49,14,29,11,14,28,26,12,11,13,12,40,14,7,561
6,13,8,4,2,10,41,24,9,3,22,6,20,28,66,20,3,5,44,5,23,8,12,26,18,13,12,31,7,33,25,7,554
3,16,4,4,1,9,44,18,9,7,39,9,22,38,53,18,3,7,41,4,24,19,13,25,24,11,11,16,8,33,23,13,569
2,13,7,5,1,6,51,14,7,5,25,6,21,41,75,19,5,4,30,10,19,8,17,17,17,9,10,19,4,25,19,12,523
16,17,8,2,0,12,45,19,7,4,16,9,13,28,60,15,5,5,35,8,32,5,16,38,21,11,13,22,6,28,16,9,541
7,11,10,3,3,8,56,15,11,9,25,12,30,33,55,13,7,9,31,5,27,12,11,27,20,10,7,17,3,32,21,5,545
5,13,4,4,3,11,44,20,6,5,19,9,17,39,44,22,7,7,31,9,24,10,12,22,14,11,21,19,6,34,20,9,521
11,11,4,1,3,12,37,16,7,8,26,7,14,27,62,15,3,9,23,4,27,7,8,22,15,7,18,17,5,30,23,10,489
6,15,5,0,0,12,50,30,5,12,23,6,19,31,69,22,11,3,33,5,25,6,7,23,14,13,4,17,10,32,13,8,529
4,9,8,2,2,6,52,15,7,9,22,16,19,28,62,23,4,9,35,9,24,13,7,15,19,6,13,19,9,26,9,13,514
5,23,4,12,1,7,45,17,2,5,21,6,16,24,51,20,5,12,35,13,29,17,11,23,20,6,9,16,2,37,23,6,523
10,16,10,3,0,13,46,29,7,6,30,4,16,28,52,18,6,4,42,6,35,11,7,18,17,11,11,19,5,36,17,12,545
6,18,6,4,2,7,61,20,11,6,25,5,16,33,52,21,2,5,35,8,18,6,4,17,14,5,11,19,11,28,15,11,502
13,17,11,3,0,4,51,21,4,7,21,5,15,31,57,14,8,5,35,3,24,7,8,31,11,8,4,12,4,28,19,8,489
6,9,7,3,2,8,46,15,1,9,20,8,9,25,63,26,10,9,33,9,25,7,15,13,22,9,11,12,4,31,16,6,489
8,14,3,3,2,14,51,18,8,5,25,5,13,27,43,19,5,10,33,8,25,11,8,15,15,13,10,10,5,30,10,11,477
12,14,4,2,3,5,48,16,4,7,21,9,13,22,54,14,5,7,29,10,32,12,6,17,21,4,3,7,5,34,11,6,457
7,7,3,1,0,11,49,13,6,5,15,4,17,45,71,19,4,3,24,8,23,6,6,18,13,10,8,16,4,20,11,10,457
8,21,1,1,0,6,45,20,3,4,14,14,12,28,58,12,7,11,28,9,16,17,11,18,22,8,9,17,4,36,13,14,487
9,11,9,2,0,4,41,16,7,9,11,2,12,39,42,16,2,6,34,8,30,7,5,22,8,6,5,17,4,25,8,8,425
7,17,9,0,1,8,49,18,5,8,17,10,15,28,53,22,4,6,29,8,24,10,7,23,15,5,6,20,0,29,12,13,478
2,9,4,1,0,13,49,14,5,4,17,6,9,28,50,22,4,2,35,9,17,14,7,10,21,10,5,20,1,33,9,5,435
6,9,1,2,0,8,53,24,5,8,24,3,16,31,55,9,3,9,25,5,23,12,5,15,14,5,4,14,3,31,11,5,438
6,12,3,2,3,10,52,19,6,6,21,15,13,24,61,20,4,7,29,6,18,7,9,10,19,4,8,21,4,37,4,6,466
4,7,5,1,0,8,47,12,4,6,16,14,11,35,50,14,4,2,28,13,18,10,10,11,11,7,4,10,5,22,6,5,400
9,19,3,2,1,9,47,20,8,8,20,6,10,34,45,25,2,9,36,6,19,11,6,14,9,6,6,17,2,31,9,4,453
5,11,3,4,1,8,58,12,4,4,17,12,8,24,53,19,4,9,32,12,22,6,7,28,11,4,5,9,2,27,11,8,440
7,12,1,1,1,6,39,10,5,13,12,7,11,35,71,24,5,6,24,10,8,6,6,13,19,4,8,11,4,26,7,7,419
7,13,10,4,2,16,43,15,4,4,9,4,8,38,50,13,7,5,31,6,28,4,5,10,10,3,6,7,4,20,8,4,398
8,12,3,3,0,9,45,7,2,3,11,5,13,33,54,9,5,1,24,7,15,7,9,14,10,3,4,6,4,27,9,5,367
5,13,5,1,0,6,41,18,6,5,20,2,6,37,62,14,3,6,24,13,15,9,4,9,14,9,8,11,0,24,3,7,400
8,11,3,2,2,16,35,14,4,3,26,7,11,27,68,19,6,6,25,7,17,4,8,18,17,8,3,9,1,22,9,7,423
12,6,3,4,0,18,38,10,6,3,8,13,13,24,59,20,7,6,31,9,11,8,7,17,10,4,9,11,3,26,7,6,409
6,11,3,2,0,13,48,19,7,3,21,7,9,27,62,9,6,5,26,9,17,11,8,16,19,5,4,12,3,26,7,8,429
4,12,4,3,0,6,54,10,4,5,7,15,11,24,62,17,2,2,36,6,17,8,5,10,10,8,4,10,3,23,5,8,395
7,19,2,0,0,13,45,13,7,5,9,8,13,19,58,13,9,8,22,4,18,7,4,14,15,10,8,10,5,32,4,6,407
5,10,3,1,2,11,44,18,2,8,11,8,13,25,53,10,4,1,34,4,20,3,11,14,7,1,3,10,2,22,7,1,368
3,5,2,1,3,7,47,10,4,7,12,15,9,31,49,22,4,7,34,6,17,3,10,17,7,7,3,11,0,15,7,9,384
8,12,4,1,1,8,54,12,2,6,11,12,10,21,38,11,2,5,22,9,17,8,5,13,19,8,7,7,2,15,6,6,362
9,11,4,2,0,11,40,16,3,4,7,8,16,28,53,17,2,4,29,3,19,9,7,7,10,5,10,8,3,17,3,10,375
7,8,5,2,0,14,56,8,8,2,14,6,12,30,40,16,2,4,29,8,16,10,4,4,11,8,5,10,2,14,9,9,373
5,12,2,0,0,9,43,10,7,5,14,9,14,17,49,9,6,6,28,10,18,11,6,11,7,7,3,4,3,17,4,9,355
11,6,2,0,0,17,39,12,3,7,9,13,10,34,37,15,5,4,23,8,14,7,6,11,16,6,6,8,2,15,14,3,363
1,7,0,1,0,16,52,7,5,6,15,10,10,30,56,11,5,6,32,9,9,8,6,9,11,6,4,7,4,11,6,4,364
3,8,3,0,0,16,47,21,10,9,17,13,9,23,45,8,3,8,31,5,15,7,5,10,7,4,1,6,3,15,2,9,363
8,7,5,1,1,7,46,7,6,3,12,5,10,16,58,15,4,4,25,8,17,6,2,9,6,6,6,10,2,21,6,7,346
9,11,4,1,2,12,61,10,4,4,17,10,7,31,47,9,3,2,30,12,14,8,4,7,14,4,4,7,0,11,4,8,371
5,13,2,1,3,19,48,10,8,2,11,8,12,21,45,13,4,2,29,7,15,5,7,4,15,4,4,9,3,17,10,6,362
2,4,4,0,0,24,33,9,3,10,22,10,13,19,36,13,6,2,20,5,12,10,3,14,14,8,2,14,2,18,11,5,348
7,8,4,1,1,19,44,12,4,5,11,14,12,29,49,7,5,1,28,4,13,8,1,14,11,1,3,12,3,13,8,1,353
4,9,2,0,0,11,44,13,4,3,9,11,12,24,43,13,6,4,26,6,8,5,4,8,6,5,2,9,1,19,4,9,324
6,9,2,0,0,22,50,12,5,4,10,10,10,24,63,13,4,1,27,11,11,3,8,18,13,7,3,5,2,15,5,8,381
3,8,0,0,1,24,42,12,6,7,16,9,5,21,43,14,4,6,32,6,16,5,6,17,8,8,4,9,4,11,8,5,360
8,16,2,0,1,39,49,18,9,10,6,12,6,30,60,10,8,4,29,10,7,8,4,12,8,6,2,9,3,20,7,6,419
8,7,1,1,0,33,43,10,3,5,14,11,10,23,38,9,3,8,31,10,12,9,9,16,11,9,3,10,4,19,4,9,383
3,12,4,0,0,42,47,19,2,6,13,6,11,27,48,19,4,2,22,8,7,5,0,12,2,6,1,10,2,20,1,10,371
6,7,1,2,2,28,33,19,7,10,12,14,10,27,56,9,4,4,33,5,10,10,6,11,13,8,5,7,3,13,11,4,390
3,12,3,0,0,38,42,15,7,7,9,7,13,27,51,12,4,4,24,4,15,5,6,10,7,4,5,7,2,9,4,12,368
13,7,3,0,1,48,44,21,7,3,12,7,8,24,50,6,2,7,32,9,8,5,3,16,11,3,3,7,1,16,10,7,394
5,11,2,1,1,47,52,17,6,13,10,10,10,22,43,19,4,2,27,10,14,5,4,6,9,7,4,8,3,18,3,7,400
11,11,4,1,0,54,56,18,4,7,6,9,11,30,60,22,2,6,40,3,15,9,3,14,13,12,7,6,4,13,7,12,470
11,11,0,1,0,50,46,22,4,11,15,3,12,28,48,9,0,3,42,12,16,7,3,19,14,4,5,9,5,15,5,4,434
