Ciudad de Mexico,Acapulco,Campeche,Cancun,Chichen Itza,Chihuahua,Cozumel,Cuernavaca,Guadalajara,Hermosillo,Isla Mujeres,Ixtapa Zihuatanejo,La Paz,Los Cabos,Merida,Monterrey,Morelia,Nuevo Vallarta,Oaxaca de Juarez,Playa del Carmen,Puebla,Puerto Vallarta,Queretaro,San Luis Potosi,San Miguel de Allende,Taxco,Tequila,Tlaxcala,Tuxtla Gutierrez,Villahermosa,Zacatecas
162,14,1,5,0,1,0,4,2,0,1,0,2,1,2,1,0,0,0,2,5,0,1,0,0,1,0,1,1,10,0
140,6,0,6,0,1,0,4,0,1,0,0,1,0,2,0,2,0,3,1,14,0,2,0,0,0,0,0,3,12,1
125,18,1,4,0,0,0,3,1,1,0,0,4,0,9,4,1,0,1,1,12,1,2,1,0,0,0,0,2,9,0
171,8,0,3,0,2,1,5,2,0,0,0,2,0,2,0,1,0,1,1,12,0,6,0,0,1,0,1,1,7,0
131,8,0,3,1,2,1,7,1,1,0,0,3,0,3,0,0,0,1,1,21,0,2,0,0,0,0,1,1,16,0
136,17,0,3,0,0,0,2,3,4,0,0,2,0,5,0,0,0,3,1,16,0,4,0,0,1,0,0,0,8,0
144,22,0,10,0,1,1,3,2,5,0,0,6,0,2,0,0,0,4,1,11,0,1,1,0,1,0,4,2,11,0
142,22,1,6,0,1,0,1,3,5,0,0,6,0,7,3,2,0,5,0,11,2,1,3,0,0,0,1,2,8,0
137,15,0,6,1,2,0,1,0,5,0,0,2,1,6,3,0,0,1,0,12,1,2,2,0,0,0,1,0,7,0
124,20,0,6,0,1,0,1,3,2,0,0,2,1,3,0,0,0,2,1,11,1,3,1,0,1,0,0,7,6,0
137,17,0,5,0,1,1,1,2,3,0,0,2,0,4,2,1,0,3,0,18,0,0,1,0,1,0,2,5,12,0
121,16,0,6,1,1,0,0,2,4,0,0,6,0,4,0,1,0,4,2,15,1,6,1,1,0,0,0,4,10,1
120,11,0,4,0,0,0,0,6,3,0,0,3,0,3,1,0,1,4,2,13,3,1,1,0,1,0,0,6,10,0
138,19,0,5,0,1,1,1,4,3,0,0,9,0,6,2,1,1,5,1,17,2,5,1,0,0,0,2,4,6,0
130,17,0,11,0,2,1,3,7,8,0,0,5,1,8,0,0,0,6,0,22,1,4,2,0,0,0,4,7,12,0
123,20,0,5,0,1,0,0,7,5,0,0,3,0,4,1,0,1,4,0,24,1,3,0,1,0,0,0,8,9,0
127,7,0,4,0,2,0,1,8,6,0,1,4,0,3,1,1,0,3,0,14,2,2,2,0,1,0,1,7,8,0
123,10,1,4,0,5,1,1,11,7,0,0,2,1,4,1,0,1,2,0,17,0,5,4,0,0,0,2,6,9,1
113,17,1,5,0,0,0,3,8,11,0,1,3,1,0,0,2,0,2,2,13,1,3,2,0,0,0,0,8,6,1
124,5,0,7,0,2,1,3,9,3,0,0,1,0,3,3,0,2,7,0,27,2,6,0,0,2,0,0,5,5,0
114,14,1,10,0,0,0,1,14,6,0,1,1,0,3,1,1,0,2,0,17,1,6,2,0,3,0,0,9,6,0
133,18,2,3,0,3,0,3,8,3,0,0,4,0,2,0,0,0,5,1,20,1,2,3,1,0,0,2,9,8,0
110,9,1,4,0,2,1,5,13,10,0,0,1,0,3,2,0,2,8,0,25,1,3,1,0,1,0,0,11,4,0
119,19,1,6,0,2,0,2,8,8,0,1,1,0,6,3,0,2,5,1,26,0,1,1,0,0,0,2,3,8,0
121,14,1,5,0,4,0,1,12,12,0,0,3,2,5,1,1,1,4,1,15,3,4,4,0,0,0,5,4,6,0
128,10,2,6,0,2,0,5,12,12,0,0,4,2,3,1,0,1,7,0,27,2,4,1,0,1,0,1,7,8,1
128,18,2,2,0,0,1,0,4,11,0,1,2,1,3,3,0,0,6,0,30,2,8,1,0,2,0,1,6,6,0
114,16,0,6,0,2,1,1,14,11,0,1,3,2,5,0,1,1,4,0,27,1,3,0,0,0,0,0,4,7,1
85,8,1,5,0,1,0,0,10,17,0,2,1,1,5,3,2,0,3,1,22,0,4,0,0,0,0,1,3,6,1
124,12,2,2,0,1,1,1,8,14,0,0,1,1,2,5,4,0,3,0,25,1,4,3,0,0,0,1,10,11,0
113,12,4,5,0,2,0,2,8,11,0,1,3,0,4,4,3,0,3,1,33,5,4,1,0,1,0,0,4,2,1
100,12,2,4,0,1,1,1,8,17,0,0,2,0,6,1,1,1,3,1,27,2,6,1,0,2,0,1,7,9,0
98,18,2,4,0,2,1,0,12,11,0,2,4,0,1,2,0,2,1,0,14,1,3,1,1,0,0,0,5,5,0
74,7,4,4,0,1,0,0,14,23,0,0,3,0,2,2,2,2,1,1,24,3,5,0,0,0,0,0,9,5,1
98,7,1,6,0,1,2,2,19,10,0,2,2,0,6,3,1,2,5,0,32,1,2,4,0,0,0,0,6,8,0
75,16,4,7,0,1,0,1,12,15,0,0,0,1,3,6,1,2,3,1,35,1,4,2,0,0,0,0,4,7,0
73,10,6,4,0,0,0,1,10,25,0,0,4,0,4,5,2,0,4,0,23,3,4,3,0,1,0,2,5,9,0
60,5,5,3,0,2,1,2,9,22,0,1,2,0,11,4,2,0,1,4,17,3,2,6,1,0,0,1,9,5,0
64,5,2,7,0,2,0,0,16,20,0,1,1,0,6,2,0,0,3,2,18,1,3,3,1,0,0,0,5,7,0
73,9,5,6,0,2,0,2,7,17,0,2,2,0,6,7,1,0,1,1,18,3,4,2,1,1,0,1,6,7,0
89,11,8,4,0,0,0,1,14,19,0,1,3,1,2,5,4,1,3,1,19,0,5,1,0,0,0,3,9,10,0
68,12,4,8,0,1,0,0,11,24,0,2,4,0,3,4,4,0,2,0,21,2,2,4,0,0,0,1,10,7,1
58,4,7,9,0,1,0,3,13,12,0,8,1,0,7,3,2,1,0,0,21,2,4,1,0,1,0,2,7,8,1
72,12,4,8,0,0,0,1,11,13,0,0,1,1,15,7,1,2,3,0,22,2,4,5,0,0,0,3,7,11,1
82,7,4,7,0,0,1,1,15,22,0,1,3,0,9,6,4,2,2,3,22,2,3,2,0,0,0,4,2,4,0
63,7,9,6,0,0,0,1,3,15,0,0,1,2,10,10,3,0,0,1,21,4,6,3,0,0,0,2,4,13,2
67,7,7,8,0,1,0,3,13,18,0,2,3,1,9,5,3,1,3,2,38,2,3,2,0,0,0,0,7,12,1
77,10,2,4,0,1,0,1,18,15,0,3,1,1,6,9,1,0,4,0,30,1,5,1,0,0,0,0,2,7,0
66,3,2,11,0,2,1,0,15,16,0,2,2,0,6,13,2,0,6,3,26,4,3,0,0,0,0,1,9,10,0
80,5,4,6,0,4,1,0,11,20,0,1,0,0,15,12,1,1,1,0,27,3,4,4,1,0,0,0,1,21,1
79,12,8,6,0,4,0,0,13,23,0,1,3,0,7,8,2,2,2,5,26,4,7,4,0,1,0,1,4,17,1
51,5,7,8,0,1,1,2,14,27,0,0,1,0,10,14,1,1,2,1,27,1,7,2,0,0,0,3,4,14,1
66,5,13,14,0,2,1,1,14,23,1,1,2,0,6,13,0,1,3,3,19,3,3,5,0,0,0,0,5,11,1
48,5,10,14,0,4,1,1,9,25,0,1,2,0,11,7,2,1,2,2,23,1,2,4,1,1,1,1,7,16,0
61,3,6,8,0,3,2,1,13,21,0,5,1,0,12,7,3,1,1,1,12,0,0,1,0,2,0,1,8,13,1
71,4,8,10,0,2,0,0,9,22,0,0,1,1,10,8,2,0,5,4,23,2,5,5,1,0,0,2,5,15,0
57,10,7,8,0,4,1,2,12,22,0,1,1,2,11,16,5,1,4,1,28,4,7,4,0,0,0,0,2,11,0
73,11,5,18,0,1,2,0,8,18,0,2,3,2,9,11,3,3,0,0,23,2,2,6,0,2,0,4,8,13,0
