AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,NACIONAL
1,18,0,15,30,8,68,10,2,7,24,23,13,29,113,13,4,8,17,10,36,6,11,8,36,57,28,32,7,46,8,4,692
4,30,1,13,11,8,58,22,1,2,41,23,12,35,159,8,9,9,16,7,37,7,13,4,32,56,25,33,9,53,18,3,759
2,32,5,10,19,8,72,18,3,2,31,24,7,22,111,12,7,4,24,10,43,5,9,11,25,47,33,37,10,48,23,4,718
2,22,1,14,16,11,82,16,3,7,30,13,18,34,109,12,8,2,21,20,45,6,12,9,24,51,21,20,12,32,18,3,694
4,25,5,14,8,8,64,13,1,5,46,11,14,23,126,10,4,1,31,7,41,10,8,3,31,51,29,37,13,41,14,6,704
4,29,4,16,16,11,67,23,0,2,40,18,11,34,78,8,7,4,25,12,57,6,14,5,41,51,27,21,8,42,20,4,705
8,32,1,10,16,6,78,22,2,3,40,22,6,42,98,8,5,4,21,18,50,8,6,4,31,56,22,43,7,52,17,2,740
4,38,2,8,20,6,67,11,3,4,34,14,9,36,101,11,4,7,30,19,50,6,17,8,44,50,33,44,12,50,10,1,753
2,45,2,14,10,14,80,16,3,4,35,16,7,28,127,11,3,7,29,15,54,5,11,12,34,52,43,51,13,56,23,3,825
6,32,0,20,18,14,80,20,0,8,39,25,10,32,94,8,3,6,28,20,58,7,15,10,36,52,38,44,16,55,23,7,824
6,25,2,13,13,9,51,17,3,7,44,11,10,33,100,10,4,6,25,11,55,10,14,7,36,50,31,38,13,64,15,5,738
3,23,3,18,15,14,66,19,4,7,41,12,10,30,98,5,4,10,30,15,43,4,24,11,39,61,33,28,11,60,19,3,763
2,31,3,21,16,12,49,13,4,3,36,19,15,26,100,10,8,4,19,18,41,3,21,15,17,57,40,31,12,55,24,6,731
5,26,5,14,15,15,61,17,11,10,34,16,12,35,113,15,4,6,26,13,38,1,16,8,24,59,38,21,12,50,17,4,741
4,25,7,14,16,12,71,15,6,7,40,10,19,33,97,12,2,6,31,16,46,7,17,14,37,51,34,24,12,52,17,5,759
3,18,6,15,14,14,57,21,7,4,29,20,16,36,92,14,9,9,41,24,65,8,14,17,40,53,42,41,9,71,20,2,831
5,23,4,13,18,9,73,26,4,9,38,24,14,27,104,8,4,8,32,23,41,3,25,16,36,60,30,28,21,55,19,6,806
3,9,6,14,12,5,72,29,6,4,39,15,14,39,93,16,3,4,48,16,45,4,15,18,42,47,34,36,18,58,31,8,803
3,26,2,19,12,7,58,27,4,8,32,11,15,34,108,7,5,5,37,11,59,7,12,23,27,52,39,48,12,76,25,5,816
2,27,8,16,12,7,56,20,7,6,36,15,17,20,85,13,5,7,33,16,56,8,24,17,36,38,42,35,15,64,21,3,767
3,18,2,13,8,7,65,19,3,7,44,16,14,28,89,5,3,5,44,12,59,6,13,13,25,44,30,32,18,70,25,6,746
2,25,3,21,3,14,58,22,3,3,35,17,9,29,104,7,9,15,43,21,53,8,15,19,43,40,39,35,13,71,18,6,803
5,28,8,11,13,12,55,25,5,10,36,14,14,39,82,6,3,5,32,13,51,9,28,21,34,40,34,41,19,68,36,5,802
2,20,4,17,11,8,56,30,7,3,45,17,19,36,88,7,7,10,40,14,58,4,27,29,25,54,39,42,15,64,35,6,839
2,22,5,13,6,17,43,23,8,4,37,12,13,27,79,7,1,7,48,23,54,11,15,28,27,27,37,38,20,56,40,2,752
8,23,5,10,3,8,54,24,1,8,24,16,9,35,88,9,4,10,45,14,61,6,17,35,25,47,33,47,16,59,32,8,784
10,16,7,13,8,9,45,16,10,1,53,15,17,25,80,13,13,1,44,17,52,4,16,25,29,31,24,38,13,55,23,9,732
5,29,5,12,6,7,61,23,3,9,41,16,21,34,85,17,4,9,37,9,60,8,15,27,26,30,36,30,10,68,27,8,778
4,17,10,18,4,10,53,16,4,5,41,18,14,28,84,18,4,8,45,12,59,9,15,19,33,40,27,45,19,67,24,14,784
3,24,6,14,9,10,53,20,7,4,45,10,18,37,95,14,3,8,55,14,47,4,16,23,37,39,35,39,14,64,39,2,808
3,22,8,10,3,17,49,28,4,1,39,7,17,44,79,12,3,8,59,19,42,6,17,39,21,34,33,30,12,64,42,7,779
3,18,9,13,9,14,35,19,4,4,35,8,17,22,76,18,2,9,40,11,58,6,13,22,27,22,24,40,10,64,25,7,684
3,25,13,6,5,13,60,36,7,8,41,14,19,38,74,8,3,6,40,13,67,8,18,22,17,32,33,35,12,46,20,7,749
4,16,4,11,6,7,48,20,7,11,31,12,17,21,78,13,5,4,40,13,47,9,19,28,35,24,26,31,10,47,23,8,675
3,16,8,15,10,7,47,35,10,4,42,11,13,32,84,23,5,7,40,9,48,10,10,20,31,16,30,36,15,47,38,13,735
2,18,6,15,4,7,55,23,4,4,34,14,19,28,75,12,3,13,52,13,47,12,21,29,18,19,22,33,9,55,23,7,696
2,23,6,19,10,11,56,28,10,6,31,13,19,30,85,20,11,6,41,18,38,4,22,37,26,23,24,24,9,58,35,12,757
6,33,5,7,6,15,55,28,5,9,38,15,23,33,75,11,11,7,46,9,48,5,20,38,33,28,22,30,17,51,41,7,777
2,16,8,9,6,12,61,26,8,9,43,10,21,33,74,14,5,8,54,16,47,12,12,34,17,18,21,29,9,44,32,9,719
6,13,3,12,2,12,42,23,8,4,35,7,22,36,88,18,9,9,53,18,41,10,15,26,22,24,15,26,8,38,34,15,694
7,15,7,4,2,11,53,30,4,7,32,15,15,34,65,15,6,5,55,15,37,4,16,27,28,21,12,20,4,45,24,9,644
5,20,9,8,3,8,65,21,8,7,41,10,14,41,67,18,4,7,32,12,37,10,22,25,17,17,19,34,12,45,24,22,684
5,8,8,9,6,15,35,20,10,9,34,11,16,29,85,20,5,7,52,11,39,9,12,28,31,11,19,28,7,39,23,13,654
3,17,5,5,4,7,46,31,9,4,34,7,27,21,85,17,6,6,44,10,41,11,20,31,20,9,23,23,14,51,34,10,675
5,23,13,9,3,10,42,22,9,6,26,13,25,41,63,16,11,5,46,11,50,6,21,34,17,25,21,29,11,47,31,9,700
5,6,7,5,7,11,45,36,3,2,22,4,19,33,71,17,5,2,41,15,39,4,11,34,22,14,22,32,3,50,21,10,618
5,12,6,7,6,5,46,20,7,6,22,14,16,31,66,10,9,9,43,13,39,5,7,26,28,22,19,22,6,48,31,9,615
6,23,9,9,1,7,46,20,6,6,35,4,19,34,64,13,5,10,31,16,38,11,9,32,21,14,15,19,4,31,17,5,580
8,14,7,10,2,7,45,21,5,4,24,15,13,30,74,16,2,11,34,12,43,12,17,22,12,13,12,27,4,34,27,9,586
6,18,10,3,2,6,42,27,4,3,23,16,14,33,69,20,8,3,42,14,40,8,8,14,16,18,18,24,7,39,19,2,576
4,29,10,7,2,9,45,23,10,2,34,10,22,34,68,27,9,10,44,9,31,6,13,29,18,19,8,20,4,36,21,14,627
5,22,12,4,3,4,47,28,3,5,29,12,18,27,65,18,5,8,32,14,21,12,13,17,15,12,9,30,8,33,28,7,566
4,12,9,5,4,9,44,17,5,12,26,20,19,41,78,18,3,6,31,7,36,14,16,19,25,12,13,17,3,38,15,7,585
5,11,8,1,3,9,49,15,7,4,29,12,12,33,56,10,3,15,49,14,29,11,14,28,26,12,11,14,12,40,14,7,563
6,13,8,4,2,10,41,24,9,3,22,6,21,28,66,20,3,5,44,5,23,8,12,26,18,14,12,32,7,34,25,7,558
3,16,4,4,1,9,45,18,9,7,39,9,22,38,54,18,3,7,41,4,24,19,13,25,24,12,11,16,8,33,23,13,572
2,13,7,5,1,6,51,14,7,5,25,6,21,41,75,19,5,4,30,10,19,8,17,17,17,10,10,19,4,25,19,12,524
16,17,8,2,0,12,45,19,7,4,16,9,13,28,60,15,5,5,35,8,32,5,16,38,21,11,13,22,6,28,16,9,541
7,11,10,3,3,8,56,15,11,9,25,12,30,33,55,13,7,9,31,5,27,12,11,27,20,10,7,17,3,32,21,5,545
5,13,4,4,3,11,44,20,6,5,19,9,17,39,44,22,7,7,31,9,24,10,12,22,14,11,21,19,6,34,20,9,521
11,11,4,1,3,12,37,16,7,8,26,7,14,27,64,15,5,9,23,4,27,7,8,22,15,7,18,17,5,31,23,10,494
6,15,5,0,0,12,50,30,5,12,22,6,19,31,71,22,11,3,33,5,25,6,7,23,14,13,4,17,10,32,13,8,530
4,9,8,2,2,6,52,15,7,9,22,16,19,28,62,23,4,9,35,9,24,13,7,15,19,6,14,19,9,26,9,13,515
5,23,4,12,1,7,46,17,2,5,21,6,16,24,52,20,5,12,35,13,29,17,11,23,20,6,9,16,2,37,24,6,526
10,16,10,3,0,13,47,29,7,6,30,4,16,28,52,18,6,4,43,6,35,11,7,18,17,11,11,19,5,36,18,12,548
7,18,6,4,2,7,61,20,11,6,25,5,16,33,54,21,3,5,35,8,18,6,4,17,14,6,11,19,11,28,15,11,507
13,17,11,3,0,4,51,21,4,7,20,5,15,31,58,14,8,5,35,3,24,7,8,31,11,8,4,12,4,28,19,8,489
6,9,7,3,2,8,46,15,1,9,20,8,9,25,64,26,10,9,33,9,25,7,15,13,22,9,11,12,4,31,16,6,490
8,14,3,3,2,14,51,18,8,5,25,5,13,27,45,19,5,10,33,8,25,11,8,15,15,13,10,10,5,30,10,11,479
12,14,4,2,3,5,49,16,4,7,21,9,13,23,56,15,5,7,29,10,32,12,6,17,21,4,3,7,5,34,11,6,462
7,7,3,1,0,11,49,13,6,5,15,4,17,45,72,19,4,3,24,8,23,6,6,18,13,10,8,16,4,20,12,10,459
8,21,1,1,0,6,45,20,3,4,15,14,12,28,60,12,7,11,28,9,16,17,11,18,22,8,9,17,4,37,13,14,491
9,11,9,2,0,4,41,16,7,9,11,2,12,39,45,16,2,6,34,8,30,7,5,22,8,6,5,17,4,25,8,8,428
7,17,9,0,1,8,49,19,5,8,17,11,15,28,54,22,4,6,29,8,24,10,7,23,15,6,6,20,0,29,12,13,482
2,9,4,1,0,13,49,14,5,4,17,6,9,28,52,22,4,2,35,9,17,14,7,10,21,10,5,20,1,33,9,5,437
6,9,1,2,0,8,55,24,5,8,25,3,16,31,55,9,3,9,25,5,23,12,5,15,14,5,4,14,3,31,11,5,441
6,12,3,2,3,10,52,19,6,6,21,15,13,24,62,20,4,7,29,6,18,7,9,10,19,3,8,21,4,37,4,6,466
4,7,5,1,0,8,47,12,4,6,16,14,11,35,51,14,4,2,28,13,18,10,10,11,11,7,4,11,5,22,6,5,402
9,19,3,2,1,9,47,20,8,8,20,6,10,34,45,25,2,9,36,6,19,11,6,14,9,5,6,17,2,31,9,4,452
5,11,3,4,1,8,59,13,4,4,17,12,8,24,53,19,4,9,32,12,22,6,7,28,11,4,5,9,2,27,11,8,442
7,12,1,1,1,6,39,10,5,13,12,7,11,35,71,24,5,6,24,10,8,6,6,13,19,5,8,11,4,26,7,7,420
7,13,10,4,2,15,44,15,4,4,9,4,8,38,50,13,7,5,32,6,28,4,5,10,10,4,6,7,4,21,8,4,401
8,12,3,3,0,9,45,7,2,3,10,5,14,33,57,9,5,1,24,7,15,7,9,14,10,3,4,6,5,28,9,5,372
5,13,5,1,0,6,42,18,6,5,20,2,6,37,62,14,3,6,24,13,15,9,4,9,14,9,8,11,0,24,3,7,401
8,11,3,2,2,16,35,14,4,3,26,7,11,27,68,19,6,6,25,7,17,4,8,18,17,8,3,9,1,22,9,7,423
12,6,3,4,0,18,38,10,6,3,8,13,13,24,59,20,7,6,31,9,11,8,7,17,10,3,9,11,3,26,7,6,408
6,11,3,2,0,13,49,19,7,3,21,7,9,27,63,9,6,5,26,9,17,11,8,16,19,5,4,12,3,26,7,8,431
4,12,4,3,0,6,54,10,4,5,7,15,11,24,64,17,2,2,36,6,16,8,5,10,10,8,4,10,3,23,5,8,396
7,19,2,0,0,13,45,13,7,5,9,8,13,19,59,13,9,8,22,4,18,7,4,14,15,10,8,10,5,33,4,6,409
5,10,3,1,2,11,44,18,2,8,11,8,13,25,53,10,4,1,34,4,20,3,11,14,7,1,3,10,2,22,7,1,368
3,5,2,1,3,7,47,10,4,7,12,15,10,31,49,22,4,7,35,6,17,3,10,17,7,7,3,11,0,15,7,9,386
8,12,4,1,1,8,56,12,2,6,11,12,10,21,39,11,2,5,22,9,17,8,5,13,19,8,7,7,2,15,6,6,365
10,11,4,2,0,11,40,16,3,4,7,8,16,28,54,17,2,4,29,3,19,9,7,7,10,5,10,8,3,17,3,10,377
7,8,5,2,0,14,56,8,8,2,14,6,12,30,41,16,2,4,29,8,16,10,4,4,11,8,5,10,2,14,9,9,374
5,12,2,0,0,9,42,10,7,5,14,9,14,17,49,9,6,6,28,10,18,11,6,11,7,7,3,4,3,17,4,9,354
11,6,2,0,0,17,39,12,3,7,10,13,10,34,37,15,5,4,23,8,14,7,6,11,16,7,6,8,2,14,14,3,364
1,7,0,1,0,17,53,7,5,6,15,10,10,30,56,11,6,6,32,9,9,8,6,9,11,6,4,7,4,11,6,4,367
3,8,3,0,0,16,47,21,10,9,17,13,9,23,46,8,3,8,31,5,15,7,5,10,7,4,1,6,3,15,2,9,364
8,7,5,1,1,7,46,7,6,3,12,5,10,16,58,15,4,4,25,8,17,6,2,9,6,6,6,10,2,21,6,7,346
9,11,4,1,2,12,62,10,4,4,17,10,7,31,47,9,3,2,30,12,14,8,4,7,14,5,4,7,0,12,4,8,374
5,13,2,1,3,19,48,10,8,2,11,8,12,21,45,13,4,2,29,7,15,5,7,4,15,4,4,9,3,17,10,6,362
2,4,4,0,0,24,37,9,3,10,22,10,13,19,39,13,6,2,20,5,12,10,3,14,14,8,2,14,2,18,11,5,355
7,8,4,1,1,19,44,12,4,5,11,14,12,29,50,7,5,1,28,4,13,8,1,14,11,1,3,12,3,14,8,1,355
4,9,2,0,0,11,44,14,4,3,9,11,12,24,44,13,6,4,26,6,8,5,4,8,6,5,2,9,1,19,4,9,326
6,9,2,0,0,22,52,12,5,4,10,10,10,24,63,13,5,1,27,11,11,3,8,18,13,7,3,5,2,16,5,8,385
3,8,0,0,1,24,42,12,6,7,16,9,5,21,44,14,5,6,32,6,16,5,6,17,8,8,4,9,4,11,8,5,362
8,16,2,0,1,39,50,18,9,10,6,12,6,30,60,10,8,4,29,10,7,8,4,12,8,6,2,9,3,20,7,6,420
